GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03893	0	0	0	9.5552898206	0	0	7.9656713806	23.6958427455	0	0	0	388.3443614521	0	0	0	11.1980537503	24.1603100873	366.4250827073	0
K03897	0	0	0	0	0	0	0	0	0	0	0	23.1403305849	0	0	0	0	0	11.9598846833	0
K03919	0	0	0	46.9812147611	0	0	0	17.9221547730	0	0	0	14.5960286040	0	0	0	0	14.4682134892	7.8985930687	0
K03923	0	0	0	47.8878365905	7.5909733171	0	17.2659221534	60.9254740565	0	0	9.1905048413	37.5972662971	5.5270460605	0	0	0	0	16.3014108994	0
K03924	544.3611394378	264.4495390953	405.5281137446	756.0102871669	644.1637446363	869.3127680642	515.0909607137	1013.9924103554	95.8690918474	348.5142732471	378.1560498973	1031.3976905272	148.3904312473	384.3976158575	690.3386247271	299.8656001833	515.2092966221	585.5584788696	891.2799038340
K03925	91.6505207843	13.9423444397	7.0528899478	65.4406068263	11.6734525357	93.3050184579	24.5084240386	300.2050483807	6.6892627449	7.2526791658	28.4218316189	771.9477145455	0	10.0502512563	133.4549597284	12.4184995670	22.0475848263	375.3951199681	13.1281543704
K03926	0	0	0	42.6406270294	9.9332527374	0	6.5624895297	16.4157706097	6.5526782917	0	0	26.1527878150	0	0	0	6.5818939106	9.8481773425	17.9953403788	0
K03927	0	0	0	0	7.1352793367	0	10.9347636488	0	0	0	0	0	0	0	0	0	0	0	0
K03928	0	0	0	0	0	0	0	0	0	0	0	878.7755988754	0	0	0	6.7751089899	0	180.6173999797	0
K03931	0	0	0	49.5796574974	10.3823749730	0	0	0	0	0	0	24.6032443433	0	0	0	0	0	0	0
K03969	0	0	0	54.3034843379	0	0	0	20.1312489873	0	0	9.2219925008	20.2283307688	0	0	0	0	0	7.8759454109	0
K03970	0	0	0	15.7619178837	0	0	0	0	0	0	0	10.4987599890	0	0	0	0	0	0	0
K03971	0	0	0	26.6526339743	0	0	0	0	0	0	0	15.9294921979	0	0	10.6667425191	0	0	0	0
K03972	0	0	0	32.0665988815	0	0	0	0	0	0	0	7.1301474326	0	0	0	0	0	0	0
K03973	0	0	0	36.8664464370	0	0	0	6.1354406388	0	0	11.6563783707	18.4521000472	0	0	0	0	0	0	0
K03974	0	0	0	35.9258149874	7.3441180558	0	0	23.2741670017	0	0	0	27.5219271623	0	0	0	0	0	8.3825612475	0
K03975	154.2082529851	12.7042622012	29.8313722692	97.2908128851	64.3624751155	108.3076907392	47.0934421647	495.9058597198	21.8836075173	15.5215230919	37.2222559332	863.8042375566	0	0	177.6782512051	31.4193009085	191.9843721053	494.1879630992	70.6829106733
K03976	169.3802433880	0	53.1114319497	168.9925674194	0	126.7816577225	150.8130669352	101.1413831149	22.0620253054	0	0	51.3645029512	0	0	0	93.4313436844	88.8459523546	139.6912094041	0
K03977	323.0059803933	85.6568194479	143.3681230232	420.7071413006	247.7255930901	279.1649536140	206.6281806666	1564.4436754993	51.5866287409	103.0278763238	164.8388743671	2794.3897250207	58.4424687656	125.4705966352	262.9202120580	122.5551769607	584.4042131599	1758.2952077757	232.2372902324
K03978	31.3187500994	32.2013720176	32.8707612113	182.8406286041	83.3561213352	64.1655608743	57.9709045012	1529.8661682983	34.6530344047	21.6773687486	71.9572117486	1958.2096612874	23.5870298591	11.7740725327	16.9963052173	45.9382968774	253.3174599059	1118.3318888324	70.0977410789
K03979	445.8724427045	178.8226595369	192.4140631855	622.8457695311	434.3030918275	541.4749822529	370.9475751215	1680.2723541823	83.3033390747	205.4485407553	294.2861438671	2173.3684671193	119.1528852752	226.4051364531	500.0220601516	258.6501284901	657.1124180712	1311.3124643916	653.5563602772
K03980	0	0	10.2256010601	47.5762699169	12.2846347720	73.3758356177	12.1098635755	735.7368827437	7.8176788947	0	6.5112817376	934.1843984806	0	0	147.8002359134	15.4986617545	268.2421230613	557.1149323474	0
K03981	0	0	0	26.6075726459	8.7031248285	0	14.6576859727	168.5261156565	0	0	0	111.2655160939	0	0	0	0	52.0170568964	42.8569683432	0
K04013	0	0	0	50.5907901731	9.3667169529	0	9.3886159227	13.0984184467	0	0	0	18.7487968955	0	0	0	0	5.5993540625	0	0
K04014	0	0	0	51.7782709901	9.4071246898	0	0	15.6830844515	0	0	0	20.3909391102	0	0	0	0	0	0	0
K04015	0	0	0	52.0386131659	10.8399423824	0	0	13.0060359901	0	0	0	28.1854652024	0	0	0	0	8.6709141886	0	0
K04016	0	0	0	39.9582771829	14.7435682992	0	0	11.5650654312	0	0	0	22.8796356441	0	0	0	0	6.7559503816	5.6564371567	0
K04017	0	0	0	48.6532951289	0	0	0	8.5612803645	0	0	0	17.1403450541	0	0	0	0	0	0	0
K04018	0	0	0	46.9547552368	8.6691963528	0	0	0	0	0	0	29.3564198643	0	0	0	0	3.5368895370	0	0
K04019	0	0	0	37.2419206896	10.9564066983	0	0	0	0	0	0	29.9771427331	0	0	0	0	0	0	0
K04020	0	0	0	37.6595608025	0	0	0	16.2803359339	0	0	0	24.4184535321	0	0	0	0	0	0	0
K04021	0	0	0	51.1146780813	0	0	0	12.4135296526	0	0	0	31.3980597045	0	0	0	0	0	0	0
K04022	0	0	0	39.6893376296	0	0	0	0	0	0	0	17.2326222955	0	0	0	0	0	0	0
